title,content,servicename,error_code,tags,timestamp,sessionid
Redis Connection Refused,Could not connect to Redis at 172.16.0.45:6379. Connection refused.,inventory-service,REDIS_001,"redis,infrastructure,cache",2026-03-26T22:27:00Z,sess-8953-5907
Broken Pipe,java.io.IOException: Broken pipe. The client closed the connection prematurely.,auth-service,NET_005,"network,io,broken-pipe",2026-03-26T14:59:00Z,sess-3464-5231
Dependency Version Conflict,NoSuchMethodError: org.apache.commons.saveTransaction does not exist in version 3.12.0.,api-gateway,DEP_001,"java,dependency,build",2026-03-26T07:58:00Z,sess-1343-2720
Redis Connection Refused,Could not connect to Redis at 172.16.0.45:6379. Connection refused.,db-proxy,REDIS_001,"redis,infrastructure,cache",2026-03-26T02:13:00Z,sess-2383-8321
Rate Limit Exceeded,Too many requests. User 4432 exceeded quota of 500 req/min.,shipping-service,LIMIT_429,"api,throttling,rate-limit",2026-03-26T10:08:00Z,sess-6476-9733
Dependency Version Conflict,NoSuchMethodError: org.apache.commons.saveTransaction does not exist in version 3.12.0.,order-service,DEP_001,"java,dependency,build",2026-03-26T19:58:00Z,sess-9188-8995
JWT Signature Verification Failed,Invalid token signature for user ID 9054. Potential unauthorized access.,cache-manager,AUTH_403,"security,jwt,auth",2026-03-26T14:27:00Z,sess-7630-7494
JWT Signature Verification Failed,Invalid token signature for user ID 8821. Potential unauthorized access.,auth-service,AUTH_403,"security,jwt,auth",2026-03-26T17:53:00Z,sess-5632-3962
Elasticsearch Search Timeout,Search phase execution exception: all shards failed. Took 4628ms.,db-proxy,ES_503,"elasticsearch,search,timeout",2026-03-26T03:25:00Z,sess-5756-9557
Redis Connection Refused,Could not connect to Redis at 10.0.5.22:6379. Connection refused.,payment-service,REDIS_001,"redis,infrastructure,cache",2026-03-26T23:57:00Z,sess-8167-9703
JWT Signature Verification Failed,Invalid token signature for user ID 4432. Potential unauthorized access.,cache-manager,AUTH_403,"security,jwt,auth",2026-03-26T23:42:00Z,sess-4474-4278
Database Connection Timeout,Failed to connect to MySQL cluster after 5730ms. Max connections reached.,inventory-service,DB_1002,"database,timeout,critical",2026-03-26T21:37:00Z,sess-6803-8969
Invalid API Request Parameter,Validation failed: 'zipcode' field must be valid. Received: 'error_val_2'.,api-gateway,VAL_400,"api,validation,user-input",2026-03-26T15:35:00Z,sess-9599-8053
Database Connection Timeout,Failed to connect to MySQL cluster after 6993ms. Max connections reached.,order-service,DB_1002,"database,timeout,critical",2026-03-26T01:29:00Z,sess-7056-2854
Permission Denied,Access denied for user user_499 on resource /api/v1/settings. Role 'GUEST' insufficient.,api-gateway,AUTH_401,"security,rbac,auth",2026-03-26T06:17:00Z,sess-1900-9408
Elasticsearch Search Timeout,Search phase execution exception: all shards failed. Took 5459ms.,notification-service,ES_503,"elasticsearch,search,timeout",2026-03-26T15:49:00Z,sess-5942-5053
Kafka Consumer Lag Critical,Consumer group 'group-A' is lagging by 18036 messages.,notification-service,KAFKA_LAG,"messaging,kafka,performance",2026-03-26T18:11:00Z,sess-3998-2680
Redis Connection Refused,Could not connect to Redis at 192.168.1.10:6379. Connection refused.,cache-manager,REDIS_001,"redis,infrastructure,cache",2026-03-26T00:33:00Z,sess-3310-3175
Broken Pipe,java.io.IOException: Broken pipe. The client closed the connection prematurely.,auth-service,NET_005,"network,io,broken-pipe",2026-03-26T00:42:00Z,sess-4062-3033
Redis Connection Refused,Could not connect to Redis at 172.16.0.45:6379. Connection refused.,inventory-service,REDIS_001,"redis,infrastructure,cache",2026-03-26T23:49:00Z,sess-1529-2028
JWT Signature Verification Failed,Invalid token signature for user ID 8821. Potential unauthorized access.,db-proxy,AUTH_403,"security,jwt,auth",2026-03-26T17:03:00Z,sess-6952-5632
NullPointerException,java.lang.NullPointerException: Cannot invoke 'getUserInfo' because 'obj' is null.,user-service,ERR_500,"java,exception,nullpointer",2026-03-26T19:17:00Z,sess-9985-9075
JWT Signature Verification Failed,Invalid token signature for user ID 9054. Potential unauthorized access.,shipping-service,AUTH_403,"security,jwt,auth",2026-03-26T13:02:00Z,sess-9195-1005
Rate Limit Exceeded,Too many requests. User 8821 exceeded quota of 1000 req/min.,db-proxy,LIMIT_429,"api,throttling,rate-limit",2026-03-26T11:03:00Z,sess-6292-2196
