id,category_l1,category_l2,category_l3,title,content,service_name,error_code,tags,symptom,root_cause,resolution_steps,verification_steps,source,updated_at
kb_001,case,mq,rate_limit,外部恶意流量攻击触发mq网关层限流策略,系统监测到某IP段对mq核心接口发起高频请求，触发了网关设置的令牌桶限流。处理思路是紧急拉黑恶意IP并启用验证码拦截方案。,mq-service,MQ_RATE_LIMIT_001,rate_limit|mq|case,接口返回429 Too Many Requests，网关入口QPS异常抖动。,瞬时并发请求数超过了系统集群的处理能力上限，触发安全熔断。,1) WAF层屏蔽异常来源IP; 2) 动态调整限流阈值; 3) 开启前端动态限流。,1) 查看网关丢包日志; 2) 验证正常业务流量的访问连通性。,incident-2026-03-21,2026-03-19T10:00:00Z
kb_002,sop,payment,high_latency,payment模块数据库慢查询引起的服务高延迟告警,在payment业务线中，某个非索引字段的条件查询在大表环境下触发了全表扫描，消耗了大量的IOPS资源。处理思路是定位慢SQL并紧急添加覆盖索引。,payment-service,PAYMENT_HIGH_LATENCY_002,high_latency|payment|sop,接口平均耗时从50ms升至800ms，数据库主机IO负载超过80%。,SQL执行计划发生偏移，未按照预期的主键索引进行数据检索。,1) 杀掉长时间运行的慢SQL进程; 2) 线上紧急添加联合索引; 3) 配置读写分离方案。,1) 查看Explain执行计划; 2) 确认慢日志记录条数明显下降。,runbook-v1,2026-03-23T10:00:00Z
kb_003,error_code,payment,timeout,系统由于下游payment接口响应缓慢导致请求超时,在业务高峰期，系统调用下游payment服务接口时响应时长超过3秒，导致当前线程挂起并触发连接池满。通过排查发现是下游数据库CPU激增导致。处理思路是临时调大超时阈值并开启熔断保护。,payment-service,PAYMENT_READTIMEOUT_003,timeout|payment|error_code,监控显示P99延迟曲线陡增，日志中出现大量ReadTimeoutException。,下游服务在处理复杂业务逻辑时未能及时释放连接，导致请求积压。,1) 紧急调低Hystrix熔断阈值; 2) 扩容下游服务实例; 3) 优化调用端重试策略。,1) 观察Grafana中接口成功率; 2) 验证调用端线程池活跃连接数。,runbook-v1,2026-03-11T10:00:00Z
kb_004,case,order,deadlock,order事务处理过程中因加锁顺序不一导致死锁,在高并发对账场景下，两个并发事务分别锁定了不同的行资源并互相等待，触发了数据库死锁检测。处理思路是优化代码逻辑，确保加锁顺序全局一致。,order-service,ORDER_DEADLOCK_004,deadlock|order|case,数据库死锁日志记录激增，部分业务请求返回500错误并提示Deadlock。,业务代码在更新关联表时未遵循固定的主键顺序，导致环路等待。,1) 回滚受影响的长事务; 2) 调整代码中的update语句顺序; 3) 缩小事务范围。,1) 检查数据库Deadlock日志记录; 2) 并发压测验证死锁是否消除。,incident-2026-03-11,2026-03-24T10:00:00Z
kb_005,error_code,mq,auth_failed,用户访问鉴权系统时由于令牌同步延迟导致失败,在多机房部署环境下，用户登录生成的JWT令牌在从机房Redis同步时出现延迟，导致用户访问mq接口时报401。处理思路是强制刷新缓存同步并检查网络链路状况。,mq-service,MQ_AUTH_TOKEN_EXPIRED_005,auth_failed|mq|error_code,前端提示登录状态失效，后端日志返回E_AUTH_TOKEN_EXPIRED。,跨机房网络抖动导致Redis主从同步延迟超过预设阈值。,1) 清除异常Token缓存; 2) 切换至就近认证节点; 3) 更新令牌生成密钥。,1) 模拟多地区账号登录测试; 2) 检查Redis同步延迟监控指标。,runbook-v1,2026-03-18T10:00:00Z
kb_006,case,auth,data_inconsistency,auth业务数据主从库同步延迟导致一致性异常,用户在更新资料后立即查询，发现数据仍为旧值。排查发现是auth数据库主库写入量过大，导致Binlog回放延迟。处理思路是关键业务查询强制走主库。,auth-service,AUTH_DATA_INCONSISTENCY_006,data_inconsistency|auth|case,用户反馈数据修改不生效，后台核对数据库发现主从数据不匹配。,主库存在大事务操作，导致从库单线程回放效率远低于写入效率。,1) 对关键业务开启一致性读方案; 2) 增加从库并行复制线程; 3) 拆分大事务。,1) 执行pt-table-checksum校验; 2) 监控Slave_IO_Running状态。,incident-2026-03-17,2026-03-26T10:00:00Z
kb_007,case,cache,deadlock,cache事务处理过程中因加锁顺序不一导致死锁,在高并发对账场景下，两个并发事务分别锁定了不同的行资源并互相等待，触发了数据库死锁检测。处理思路是优化代码逻辑，确保加锁顺序全局一致。,cache-service,CACHE_DEADLOCK_007,deadlock|cache|case,数据库死锁日志记录激增，部分业务请求返回500错误并提示Deadlock。,业务代码在更新关联表时未遵循固定的主键顺序，导致环路等待。,1) 回滚受影响的长事务; 2) 调整代码中的update语句顺序; 3) 缩小事务范围。,1) 检查数据库Deadlock日志记录; 2) 并发压测验证死锁是否消除。,incident-2026-03-12,2026-03-10T10:00:00Z
kb_008,error_code,user,timeout,系统由于下游user接口响应缓慢导致请求超时,在业务高峰期，系统调用下游user服务接口时响应时长超过3秒，导致当前线程挂起并触发连接池满。通过排查发现是下游数据库CPU激增导致。处理思路是临时调大超时阈值并开启熔断保护。,user-service,USER_READTIMEOUT_008,timeout|user|error_code,监控显示P99延迟曲线陡增，日志中出现大量ReadTimeoutException。,下游服务在处理复杂业务逻辑时未能及时释放连接，导致请求积压。,1) 紧急调低Hystrix熔断阈值; 2) 扩容下游服务实例; 3) 优化调用端重试策略。,1) 观察Grafana中接口成功率; 2) 验证调用端线程池活跃连接数。,runbook-v1,2026-03-24T10:00:00Z
kb_009,case,payment,dependency_failure,关键中间件组件失效导致payment服务功能受损,由于payment服务依赖的外部第三方推送服务出现故障，导致核心业务通知无法下发。处理思路是切换至备用推送通道并开启异步任务补偿补偿处理。,payment-service,PAYMENT_DEPENDENCY_FAILURE_009,dependency_failure|payment|case,业务流水状态机卡在处理中，第三方API回调返回超时或502错误。,强依赖的第三方服务由于API升级或机房故障导致不可用。,1) 切换备用服务提供商; 2) 开启本地离线任务堆积; 3) 调整依赖级别为弱依赖。,1) 模拟第三方接口模拟器返回; 2) 验证业务补偿机制的准确性。,incident-2026-03-25,2026-03-11T10:00:00Z
kb_010,sop,gateway,high_latency,gateway模块数据库慢查询引起的服务高延迟告警,在gateway业务线中，某个非索引字段的条件查询在大表环境下触发了全表扫描，消耗了大量的IOPS资源。处理思路是定位慢SQL并紧急添加覆盖索引。,gateway-service,GATEWAY_HIGH_LATENCY_010,high_latency|gateway|sop,接口平均耗时从50ms升至800ms，数据库主机IO负载超过80%。,SQL执行计划发生偏移，未按照预期的主键索引进行数据检索。,1) 杀掉长时间运行的慢SQL进程; 2) 线上紧急添加联合索引; 3) 配置读写分离方案。,1) 查看Explain执行计划; 2) 确认慢日志记录条数明显下降。,runbook-v1,2026-03-22T10:00:00Z
kb_011,error_code,inventory,rate_limit,外部恶意流量攻击触发inventory网关层限流策略,系统监测到某IP段对inventory核心接口发起高频请求，触发了网关设置的令牌桶限流。处理思路是紧急拉黑恶意IP并启用验证码拦截方案。,inventory-service,INVENTORY_RATE_LIMIT_011,rate_limit|inventory|error_code,接口返回429 Too Many Requests，网关入口QPS异常抖动。,瞬时并发请求数超过了系统集群的处理能力上限，触发安全熔断。,1) WAF层屏蔽异常来源IP; 2) 动态调整限流阈值; 3) 开启前端动态限流。,1) 查看网关丢包日志; 2) 验证正常业务流量的访问连通性。,runbook-v1,2026-03-26T10:00:00Z
